value,description,altLabels
Abgeordnete,"Abgeordnete vertreten die Interessen ihrer politischen Parteien im Parlament. Sie nehmen legislative Aufgaben wahr, erarbeiten Gesetzentwürfe und legen sie vor, kommunizieren mit Regierungsbeamten/-beamtinnen, um aktuelle Fragen und staatliche Maßnahmen zu bewerten. Sie überwachen die Umsetzung von Gesetzen und Strategien und fungieren gegenüber der Öffentlichkeit als Regierungsvertreter, um Transparenz zu gewährleisten.",Bundestagsabgeordneter|Mitglied des Europäischen Parlaments|Volksvertreterin|Parlamentsmitglied|Bundestagsmitglied|Bürgerschaftsabgeordneter|Nationalratsmitglied|Abgeordneter|Volksvertreter|Landtagsabgeordnete|MdB|Bundestagsabgeordnete|MEP|Parlamentarier|Parlamentarierin|Bürgerschaftsabgeordnete|Landtagsabgeordneter|Mitglied des Bundestages
Abgeordneter,"Abgeordnete vertreten die Interessen ihrer politischen Parteien im Parlament. Sie nehmen legislative Aufgaben wahr, erarbeiten Gesetzentwürfe und legen sie vor, kommunizieren mit Regierungsbeamten/-beamtinnen, um aktuelle Fragen und staatliche Maßnahmen zu bewerten. Sie überwachen die Umsetzung von Gesetzen und Strategien und fungieren gegenüber der Öffentlichkeit als Regierungsvertreter, um Transparenz zu gewährleisten.",Bundestagsabgeordneter|Mitglied des Europäischen Parlaments|Volksvertreterin|Parlamentsmitglied|Bundestagsmitglied|Bürgerschaftsabgeordneter|Nationalratsmitglied|Abgeordnete|Volksvertreter|Landtagsabgeordnete|MdB|Bundestagsabgeordnete|MEP|Parlamentarier|Parlamentarierin|Bürgerschaftsabgeordnete|Landtagsabgeordneter|Mitglied des Bundestages
Abraumbaggerfahrer,"Abraumbaggerfahrer steuern schweres Gerät, wie Bagger und Muldenkipper, die häufig mit einem hohen Grad an Raumbewusstsein verbunden sind, zum Baggern, Laden und Transportieren von Erz, Rohmineral, einschließlich Sand, Stein und Ton sowie Aushub in Kiesgruben und Tagebaugruben.",Abraumbaggerführerin|Abraumbaggerführer|Abraumbaggerfahrerin
Abraumbaggerfahrerin,"Abraumbaggerfahrer steuern schweres Gerät, wie Bagger und Muldenkipper, die häufig mit einem hohen Grad an Raumbewusstsein verbunden sind, zum Baggern, Laden und Transportieren von Erz, Rohmineral, einschließlich Sand, Stein und Ton sowie Aushub in Kiesgruben und Tagebaugruben.",Abraumbaggerfahrer|Abraumbaggerführerin|Abraumbaggerführer
Abschleppwagenfahrer,"Abschleppwagenfahrer/Abschleppwagenfahrerinnen transportieren mit einem Abschleppwagen beschädigte, kaputte, fabrikneue oder von den Behörden stillgelegte Fahrzeuge. Sie bieten eine Vielzahl von Dienstleistungen an, z. B. Notabschleppen auf der Straße oder polizeiliche Beschlagnahmen. Abschleppwagenfahrer/Abschleppwagenfahrerinnen bedienen Abschleppgeräte, organisieren Routen und sorgen für die Sicherheit während des gesamten Transports.",Abschleppwagenfahrerin
Abschleppwagenfahrerin,"Abschleppwagenfahrer/Abschleppwagenfahrerinnen transportieren mit einem Abschleppwagen beschädigte, kaputte, fabrikneue oder von den Behörden stillgelegte Fahrzeuge. Sie bieten eine Vielzahl von Dienstleistungen an, z. B. Notabschleppen auf der Straße oder polizeiliche Beschlagnahmen. Abschleppwagenfahrer/Abschleppwagenfahrerinnen bedienen Abschleppgeräte, organisieren Routen und sorgen für die Sicherheit während des gesamten Transports.",Abschleppwagenfahrer
Abteilungsleiter,"Abteilungsleiter/Abteilungsleiterinnen sind für die Tätigkeit einer bestimmten Einheit oder Abteilung eines Unternehmens verantwortlich. Sie sorgen dafür, dass die Ziele und Vorgaben erreicht werden und verwalten das Personal.",Abteilungsleiterin
Abteilungsleiterin,"Abteilungsleiter/Abteilungsleiterinnen sind für die Tätigkeit einer bestimmten Einheit oder Abteilung eines Unternehmens verantwortlich. Sie sorgen dafür, dass die Ziele und Vorgaben erreicht werden und verwalten das Personal.",Abteilungsleiter
Abwasseranlagen-Techniker,"Abwasseranlagen-Techniker kontrollieren die Kanalisation und Rohrleitungssysteme. Dazu verwenden sie bewegliche Videokameras, deren Aufnahmen sie entnehmen können, ob Wartungs- oder Reparaturmaßnahmen erforderlich sind.",Abwasseranlagen-Technikerin
Abwasseranlagen-Technikerin,"Abwasseranlagen-Techniker kontrollieren die Kanalisation und Rohrleitungssysteme. Dazu verwenden sie bewegliche Videokameras, deren Aufnahmen sie entnehmen können, ob Wartungs- oder Reparaturmaßnahmen erforderlich sind.",Abwasseranlagen-Techniker
Abwasseraufbereitungstechniker,Abwasseraufbereitungstechniker unterstützen Steuerer von Abwasseraufbereitungsanlagen bei der Bedienung und Wartung von Maschinen für die Abwasseraufbereitung und bei der Reinigung von Abwasser in Kläranlagen. Sie nehmen Reparaturaufgaben wahr.,Betreiber einer Abwasseranlage|Abwasseraufbereitungstechnikerin|Abwasseranlagenbetreiber
Abwasseraufbereitungstechnikerin,Abwasseraufbereitungstechniker unterstützen Steuerer von Abwasseraufbereitungsanlagen bei der Bedienung und Wartung von Maschinen für die Abwasseraufbereitung und bei der Reinigung von Abwasser in Kläranlagen. Sie nehmen Reparaturaufgaben wahr.,Betreiber einer Abwasseranlage|Abwasseranlagenbetreiber|Abwasseraufbereitungstechniker
Abwassergrubenwärter,"Abwassergrubenwärter reinigen und warten septische Systeme. Sie reparieren Schäden und Störungen und sorgen dafür, dass die Gruben gereinigt und gewartet werden. Dabei verwenden sie im Einklang mit Sicherheitsverfahren Wartungs- und Reinigungsmaschinen.",Abwassergrubenwärterin
